recording,subject,session,status,n_epochs_before,n_epochs_after,n_spawn_epochs,n_touch_epochs,drop_fraction,n_ica_excluded,n_bad_channels,mean_uv_120_300ms,rms_uv,evoked_file
sub-1_ses-TestEMS,1,TestEMS,ok,201,201,100,101,0.0,3,0,0.05165817113567121,0.6193302788271083,sub-1_ses-TestEMS_evoked-ave.fif
sub-1_ses-TestVibro,1,TestVibro,ok,600,600,300,300,0.0,3,3,-0.00187257182351489,0.2709386916397756,sub-1_ses-TestVibro_evoked-ave.fif
sub-1_ses-TestVisual,1,TestVisual,ok,600,592,298,294,0.013333333333333334,2,3,0.14711712329178464,0.30467388930350103,sub-1_ses-TestVisual_evoked-ave.fif
sub-1_ses-Training,1,Training,ok,44,44,22,22,0.0,5,1,0.03194783699448264,0.75580526631072,sub-1_ses-Training_evoked-ave.fif
sub-10_ses-TestEMS,10,TestEMS,ok,211,211,105,106,0.0,2,1,0.008526042090860886,0.8377713522755271,sub-10_ses-TestEMS_evoked-ave.fif
sub-10_ses-TestVibro,10,TestVibro,ok,600,599,299,300,0.0016666666666666668,2,0,0.025922322159461664,0.6622385952214194,sub-10_ses-TestVibro_evoked-ave.fif
sub-10_ses-TestVisual,10,TestVisual,ok,600,595,297,298,0.008333333333333333,2,1,0.11279132990331527,0.5827557506469693,sub-10_ses-TestVisual_evoked-ave.fif
sub-10_ses-Training,10,Training,ok,48,48,24,24,0.0,1,0,0.0224149447141329,1.6435266043216674,sub-10_ses-Training_evoked-ave.fif
sub-11_ses-TestEMS,11,TestEMS,ok,207,207,103,104,0.0,2,2,0.24873108895088797,1.2827906107967422,sub-11_ses-TestEMS_evoked-ave.fif
sub-11_ses-TestVibro,11,TestVibro,ok,600,600,300,300,0.0,4,1,0.1222641703797651,0.5781097454409152,sub-11_ses-TestVibro_evoked-ave.fif
sub-11_ses-TestVisual,11,TestVisual,ok,600,600,300,300,0.0,2,1,0.046852927062609545,0.7506965102044031,sub-11_ses-TestVisual_evoked-ave.fif
sub-11_ses-Training,11,Training,ok,48,48,24,24,0.0,0,1,0.2458053391912874,1.6668027866785058,sub-11_ses-Training_evoked-ave.fif
